Timestamp,Client IP,Client Port,Request,Thread,Folder Contents
2024-05-16 17:01:00.520467,192.168.1.5,51722,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.521202,192.168.1.5,51723,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.522671,192.168.1.5,51725,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-3,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.523016,192.168.1.5,51724,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-5,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.523553,192.168.1.5,51726,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-4,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.524851,192.168.1.5,51727,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.525411,192.168.1.5,51728,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.525971,192.168.1.5,51729,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.526637,192.168.1.5,51730,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.527471,192.168.1.5,51731,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-6,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.528089,192.168.1.5,51732,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.529782,192.168.1.5,51733,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.530455,192.168.1.5,51734,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-3,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.530909,192.168.1.5,51735,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-5,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.531800,192.168.1.5,51737,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.532300,192.168.1.5,51738,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.532759,192.168.1.5,51736,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-4,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.533036,192.168.1.5,51739,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.534000,192.168.1.5,51740,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.534307,192.168.1.5,51741,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-6,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.534918,192.168.1.5,51742,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.535298,192.168.1.5,51743,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.536016,192.168.1.5,51745,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-1,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.536551,192.168.1.5,51744,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-2,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.536947,192.168.1.5,51746,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-7,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.537454,192.168.1.5,51747,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-8,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.537780,192.168.1.5,51748,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-4,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.537918,192.168.1.5,51749,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-10,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
2024-05-16 17:01:00.538050,192.168.1.5,51750,/Users/sebastianrivera/Library/CloudStorage/OneDrive-Personal/Computer Science/7to/os/proyecto sincronizacion,Thread-9,"['server.py', 'run_clients.sh', 'client.py', 'output.csv']"
